"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"0-27-5-0","aestivum","PI 131401","PI131401","NSG","","","","Breeding line from New South Wales Australia"
"0-7-2-0","aestivum","PI 131390","PI131390","NSG","","","","Breeding line from New South Wales Australia"
"0617-26","aestivum","PI 185108","PI185108","NSG","","","","Breeding line from Norway"
"073/44","durum","PI 266978","PI266978","NSG","","","","Cultivated line from Turkey"
"1/1/1994","aestivum","PI 374254","PI374254","NSG","","","","Cultivated line from Bamako Mali"
"100-93-54","aestivum","PI 351876","PI351876","NSG","","","","Cultivated line from Burundi"
"1002","aestivum","PI 366831","PI366831","NSG","","","","Landrace line from Ghowr Afghanistan"
"10021","aestivum","PI 196900","PI196900","NSG","","","","Landrace line from Welega Ethiopia"
"1004B","aestivum","PI 525211","PI525211","NSG","","","","Cultivated line from Guelmim Morocco"
"10056","aestivum","PI 176325","PI176325","NSG","","","","Landrace line from Uttar Pradesh India"
"1008","durum","PI 525334","PI525334","NSG","","","","Cultivated line from Morocco"
"100P","aestivum","PI 157904","PI157904","NSG","","","","Cultivated line from Tuscany Italy"
"10120","aestivum","PI 176334","PI176334","NSG","","","","Landrace line from Uttar Pradesh India"
"1013B.1.KJ","aestivum","PI 299414","PI299414","NSG","","","","Breeding line from Rift Valley Kenya"
"1014","aestivum","PI 532070","PI532070","NSG","","","","Cultivated line from Egypt"
"1017","aestivum","PI 163571","PI163571","NSG","","","","Cultivated line from Totonicapan Guatemala"
"10180-154-10","aestivum","PI 351873","PI351873","NSG","","","","Cultivated line from Burundi"
"10180-27-36","aestivum","PI 351875","PI351875","NSG","","","","Cultivated line from Burundi"
"10180-54-10","aestivum","PI 351871","PI351871","NSG","","","","Cultivated line from Burundi"
"10180-54-29","aestivum","PI 351870","PI351870","NSG","","","","Cultivated line from Burundi"
"1018B","aestivum","PI 525219","PI525219","NSG","","","","Cultivated line from Tata Morocco"
"1018D","aestivum","PI 525221","PI525221","NSG","","","","Cultivated line from Tata Morocco"
"102-71","aestivum","PI 225461","PI225461","NSG","","","","Breeding line from Colonia Uruguay"
"10282","aestivum","PI 176356","PI176356","NSG","","","","Landrace line from Uttar Pradesh India"
"1034","durum","PI 525341","PI525341","NSG","","","","Cultivated line from Tata Morocco"
"1035D","aestivum","PI 525232","PI525232","NSG","","","","Cultivated line from Morocco"
"1037-24-5","aestivum","PI 564287","PI564287","NSG","","","","Breeding line from Tolbukhin Bulgaria"
"10446","aestivum","PI 182751","PI182751","NSG","","","","Landrace line from Hakkari Turkey"
"1049","aestivum","PI 525241","PI525241","NSG","","","","Cultivated line from Ouarzazate Morocco"
"10542-63/87","aestivum","PI 564290","PI564290","NSG","","","","Breeding line from Tolbukhin Bulgaria"
"1054A","aestivum","PI 525246","PI525246","NSG","","","","Cultivated line from Ouarzazate Morocco"
"1057","aestivum","PI 366864","PI366864","NSG","","","","Landrace line from Ghowr Afghanistan"
"1066","aestivum","PI 525253","PI525253","NSG","","","","Cultivated line from Ouarzazate Morocco"
"1068A","aestivum","PI 525254","PI525254","NSG","","","","Cultivated line from Morocco"
"1075","aestivum","PI 585209","PI585209","NSG","","","","Cultivated line from Yemen"
"1076","aestivum","PI 585211","PI585211","NSG","","","","Cultivated line from Yemen"
"10760","durum","PI 180985","PI180985","NSG","","","","Landrace line from Rajasthan India"
"1083C","aestivum","PI 525346","PI525346","NSG","","","","Cultivated line from Morocco"
"1097","aestivum","PI 574356","PI574356","NSG","","","","Cultivated line from Yemen"
"1108/83","aestivum","PI 508388","PI508388","NSG","","","","Breeding line from Israel"
"111-172","aestivum","PI 225470","PI225470","NSG","","","","Breeding line from Colonia Uruguay"
"1113","aestivum","PI 585213","PI585213","NSG","","","","Cultivated line from Yemen"
"1115/83","aestivum","PI 508389","PI508389","NSG","","","","Breeding line from Israel"
