Trial,location,planting date,harvest date,latitude,longitude
Rht8_2011_HorseHeaven,"Horse Heaven, WA", 2011-03-23, 2011-08-03, 46.132, -119.618
NSGCStripeRust-Spring_2011_MtVernon,"Mt. Vernon, WA", 2011-05-12, 2011-07-15, 48.439167, -122.3925
GRINcore_1983_Agron_Aberdeen,"Aberdeen, ID", 1983-05-15, 1983-05-15, 42.944, -112.88
GRINcore_1984_Agron_Maricopa,"Maricopa, AZ", 1983-11-01, 1984-05-15, 33.058, -112.047
GRINcore_1985_Agron_Maricopa,"Maricopa, AZ", 1984-11-01, 1985-05-01, 33.058, -112.047
GRINcore_1986_Agron_Maricopa,"Maricopa, AZ", 1986-05-01, 1986-05-01, 33.058, -112.047
GRINcore_1989_Lab_Maricopa,"Maricopa, AZ", 1989-05-01, 1989-05-01, 33.058, -112.047
GRINcore_1995_Lab_Maricopa,"Maricopa, AZ", 1994-11-01, 1995-05-01, 33.058, -112.047
GRINcore_2005_Lab_Aberdeen,"Aberdeen, ID", 2005-05-01, 2005-05-01, 42.944, -112.88
GRINcore_2006_Lab_Aberdeen,"Aberdeen, ID", 2006-05-01, 2006-05-01, 42.944, -112.88
GRINcore_2007_Lab_Aberdeen,"Aberdeen, ID", 2007-05-01, 2007-05-01, 42.944, -112.88
GRINcore_2008_Lab_Aberdeen,"Aberdeen, ID", 2008-05-01, 2008-05-01, 42.944, -112.88
GRINcore_2009_Lab_Aberdeen,"Aberdeen, ID", 2009-05-01, 2009-05-01, 42.944, -112.88
GRINcore_2012_Lab_Aberdeen,"Aberdeen, ID", 2012-05-01, 2012-05-01, 42.944, -112.88
GRINcore_1993_Agron_Maricopa,"Maricopa, AZ", 1992-11-01, 1993-05-01, 33.058, -112.047
GRINcore_1983_Disease_Manhattan,"Manhattan, KS", 1982-11-01, 1983-05-15, 39.11, -96.45
GRINcore_1984_Disease_Manhattan,"Manhattan, KS", 1983-11-01, 1984-01-03, 39.11, -96.45
GRINcore_1985_Disease_Manhattan,"Manhattan, KS", 1984-11-01, 1985-01-04, 39.11, -96.45
GRINcore_1986_Disease_Manhattan,"Manhattan, KS", 1985-11-01, 1986-02-10, 39.11, -96.45
GRINcore_1988_Disease_Manhattan,"Manhattan, KS", 1987-11-01, 1988-02-04, 39.11, -96.45
GRINcore_1989_Disease_Manhattan,"Manhattan, KS", 1988-11-01, 1989-02-04, 39.11, -96.45
GRINcore_1991_Disease_Manhattan,"Manhattan, KS", 1990-11-01, 1991-02-04, 39.11, -96.45
GRINcore_1992_Disease_Manhattan,"Manhattan, KS", 1991-11-01, 1992-02-04, 39.11, -96.45
GRINcore_1995_Disease_Manhattan,"Manhattan, KS", 1994-11-01, 1995-02-04, 39.11, -96.45
GRINcore_2000_Disease_Manhattan,"Manhattan, KS", 1999-11-01, 2000-05-25, 39.11, -96.45
GRINcore_1985_Disease_Davis,"Davis, CA", 1985-02-01, 1985-06-01, 38.33, -121.48
GRINcore_1987_Disease_Davis,"Davis, CA", 1987-01-08, 1987-06-01, 38.33, -121.48
GRINcore_1988_Disease_Urbana,"Urbana, IL", 1988-05-01, 1988-09-01, 40.7, -88.12
GRINcore_1989_Disease_Urbana,"Urbana, IL", 1989-05-01, 1989-05-01, 40.7, -88.12
GRINcore_1990_Disease_Urbana,"Urbana, IL", 1990-05-01, 1990-05-01, 40.7, -88.12
GRINcore_1988_1990_Disease_Urbana,"Urbana, IL", 1988-05-01, 1990-06-01, 40.7, -88.12
GRINcore_1991_Disease_Urbana,"Urbana, IL", 1990-05-01, 1991-05-01, 40.7, -88.12
GRINcore_1985_Disease_Urbana,"Urbana, IL", 1984-10-02, 1985-04-01, 40.7, -88.12
GRINcore_1987_Disease_Urbana,"Urbana, IL", 1986-10-01, 1987-05-01, 40.7, -88.12
GRINcore_1998_Disease_Brookings,"Brookings, SD", 1998-05-01, 1998-05-01, 44.31, -96.8
GRINcore_1999_Disease_Brookings,"Brookings, SD", 1999-05-01, 1999-05-01, 44.31, -96.8
GRINcore_2000_Disease_Brookings,"Brookings, SD", 2000-05-01, 2000-05-01, 44.31, -96.8
GRINcore_2001_Disease_Brookings,"Brookings, SD", 2001-05-01, 2001-05-01, 44.31, -96.8
GRINcore_2002_Disease_Brookings,"Brookings, SD", 2002-05-01, 2002-05-01, 44.31, -96.8
GRINcore_1989_StemRust_StPaul,"St. Paul, MN", 1989-04-01, 1989-08-01, 45.0, -93.0
GRINcore_1991_StemRust_StPaul,"St. Paul, MN", 1991-04-01, 1991-08-01, 45.0, -93.0
GRINcore_1992_StemRust_StPaul,"St. Paul, MN", 1992-04-01, 1992-08-01, 45.0, -93.0
GRINcore_1993_StemRust_StPaul,"St. Paul, MN", 1993-04-01, 1993-08-01, 45.0, -93.0
GRINcore_1994_StemRust_StPaul,"St. Paul, MN", 1994-04-01, 1994-08-01, 45.0, -93.0
GRINcore_1988_StemRust_RoseMount,"Rosemount, MN", 1988-04-01, 1988-08-01, 44.64, -93.0
GRINcore_1991_StemRust_RoseMount,"Rosemount, MN", 1991-04-01, 1991-08-01, 44.64, -93.0
GRINcore_1984_StripeRust_MtVernon,"Mt. Vernon, WA", 1984-04-01, 1984-08-01, 48.42, -122.33
GRINcore_1985_StripeRust_MtVernon,"Mt. Vernon, WA", 1985-04-01, 1985-08-01, 48.42, -122.33
GRINcore_1986_StripeRust_MtVernon,"Mt. Vernon, WA", 1986-04-01, 1986-08-01, 48.42, -122.33
GRINcore_1987_StripeRust_MtVernon,"Mt. Vernon, WA", 1987-04-01, 1987-08-01, 48.42, -122.33
GRINcore_1988_StemRust_StPaul,"St. Paul, MN", 1988-04-01, 1988-08-01, 45.0, -93.0
GRINcore_1993_StripeRust_MtVernon,"Mt. Vernon, WA", 1993-04-01, 1993-08-01, 48.42, -122.33
GRINcore_1994_StripeRust_MtVernon,"Mt. Vernon, WA", 1994-04-01, 1994-08-01, 48.42, -122.33
GRINcore_2000_StripeRust_MtVernon,"Mt. Vernon, WA", 2000-04-01, 2000-07-12, 48.42, -122.33
GRINcore_2001_StripeRust_MtVernon,"Mt. Vernon, WA", 2001-04-01, 2001-07-10, 48.42, -122.33
GRINcore_2002_StripeRust_MtVernon,"Mt. Vernon, WA", 2002-04-01, 2002-07-09, 48.42, -122.33
GRINcore_2003_StripeRust_MtVernon,"Mt. Vernon, WA", 2003-04-01, 2003-07-08, 48.42, -122.33
GRINcore_2004_StripeRust_MtVernon,"Mt. Vernon, WA", 2004-04-01, 2004-06-22, 48.42, -122.33
GRINcore_2005_StripeRust_MtVernon,"Mt. Vernon, WA", 2005-04-01, 2005-06-29, 48.42, -122.33
GRINcore_1989_StripeRust_MtVernon,"Mt. Vernon, WA", 1989-04-01, 1989-08-01, 48.42, -122.33
GRINcore_1990_StripeRust_MtVernon,"Mt. Vernon, WA", 1990-04-01, 1990-08-01, 48.42, -122.33
GRINcore_1992_StripeRust_MtVernon,"Mt. Vernon, WA", 1992-04-01, 1992-08-01, 48.42, -122.33
GRINcore_1997_StripeRust_MtVernon,"Mt. Vernon, WA", 1997-04-01, 1997-07-01, 48.42, -122.33
GRINcore_1999_StripeRust_MtVernon,"Mt. Vernon, WA", 1999-04-01, 1999-07-17, 48.42, -122.33
GRINcore_1983_HessianFly_BiotypeC,"West Lafayette, IN", 1983-04-01, 1983-08-01, 40.42, -86.91
GRINcore_1983_HessianFly_BiotypeE,"West Lafayette, IN", 1983-04-01, 1983-08-01, 40.42, -86.91
GRINcore_1984_HessianFly_BiotypeC,"West Lafayette, IN", 1984-04-01, 1984-08-01, 40.42, -86.91
GRINcore_1984_HessianFly_BiotypeE,"West Lafayette, IN", 1984-04-01, 1984-08-01, 40.42, -86.91
GRINcore_1985_HessianFly_BiotypeC,"West Lafayette, IN", 1985-04-01, 1985-08-01, 40.42, -86.91
GRINcore_1985_HessianFly_BiotypeE,"West Lafayette, IN", 1985-04-01, 1985-08-01, 40.42, -86.91
GRINcore_1987_HessianFly_BiotypeC,"West Lafayette, IN", 1987-04-01, 1987-08-01, 40.42, -86.91
GRINcore_1987_HessianFly_BiotypeE,"West Lafayette, IN", 1987-04-01, 1987-08-01, 40.42, -86.91
GRINcore_1988_HessianFly_BiotypeC,"West Lafayette, IN", 1988-04-01, 1988-08-01, 40.42, -86.91
